,point,cell,grid,lat,lon,zscore(2021-6),zscore(2021-7),smad(2021-6),smad(2021-7)
0,4838920,1395,Fibonacci (6.25 km),47.34447860717773,10.382990837097168,-0.8766115399707762,1.3521587242256894,-0.9447154173584343,1.2524016097696504
1,4841504,1395,Fibonacci (6.25 km),47.37745666503906,10.320685386657717,-0.5492124792146579,1.6115151919253268,-0.47711049869053596,1.1591039493283624
2,4843101,1395,Fibonacci (6.25 km),47.39785003662109,10.421497344970703,-0.7218116948935674,1.469407771824257,-0.6252087775848116,1.0419693721346206
3,4844088,1395,Fibonacci (6.25 km),47.410457611083984,10.258379936218262,-0.4285902664735223,1.438613454834124,-0.18653620215519537,0.9418927048964658
4,4845685,1395,Fibonacci (6.25 km),47.43086242675781,10.35919189453125,-0.5271565170403683,1.3751891070822142,-0.1861459733632331,1.0052426964134824
5,4846672,1395,Fibonacci (6.25 km),47.44347381591797,10.196074485778809,-0.27978513032842534,1.4872504555949988,-0.04506062136220693,0.9828447826834383
6,4847282,1395,Fibonacci (6.25 km),47.45127487182617,10.460004806518556,-0.965756239118844,1.16467985879122,-0.5638331477288994,0.7181587475452368
7,4848269,1395,Fibonacci (6.25 km),47.46389389038086,10.296887397766112,-0.057874811622202704,1.5053738664815584,0.0926232055443718,1.0199190090876384
8,4849256,1395,Fibonacci (6.25 km),47.47651672363281,10.133769989013672,-0.2924320342512662,1.2188092489720872,-0.08389021639549017,0.8674115329124233
9,4849866,1395,Fibonacci (6.25 km),47.484317779541016,10.397699356079102,-0.46797693160065984,1.3080575947636266,-0.2914782639077945,0.9237028022436785
10,4850853,1395,Fibonacci (6.25 km),47.49694442749024,10.23458194732666,-0.3321735933797008,1.2125651820878134,-0.10640049065831643,0.7571384692121692
11,4851463,1395,Fibonacci (6.25 km),47.5047492980957,10.49851131439209,-0.7845009187237512,1.4448908959743096,-0.412853039456755,0.900991650366597
12,4851840,1395,Fibonacci (6.25 km),47.50957489013672,10.07146453857422,-0.022223562600017826,1.2215600840691965,-0.06749557381444889,0.7860350885180432
13,4852450,1395,Fibonacci (6.25 km),47.51738357543945,10.335393905639648,-0.21375053189158186,1.3604808895390235,0.009800553709292814,0.7211835282870966
14,4853437,1395,Fibonacci (6.25 km),47.5300178527832,10.172276496887209,-0.2661861347163355,0.930870569949018,-0.06521249889191597,0.5019513320098775
15,4854047,1395,Fibonacci (6.25 km),47.53782653808594,10.436205863952637,-0.2625163417244162,1.3997288698274,-0.028284979973951883,0.8461135111189556
16,4854280,1395,Fibonacci (6.25 km),47.540809631347656,11.127182006835938,-0.053726779412911894,1.2593953467335484,-0.14052955405854378,1.407127523292373
17,4854369,1395,Fibonacci (6.25 km),47.54195022583008,12.936182022094728,-0.9716725451210638,0.756283688670385,-0.7721519953051387,0.4319915775505417
18,4854424,1395,Fibonacci (6.25 km),47.54265594482422,10.009159088134766,0.27797901201424546,1.2664906642476235,0.08631056997301269,0.7212373450707457
19,4854801,1359,Fibonacci (6.25 km),47.547481536865234,9.582112312316896,-0.15805172257285574,2.1864333078591085,-0.08171880566221905,2.0818314785051846
20,4854890,1395,Fibonacci (6.25 km),47.548622131347656,11.391111373901367,-0.7535741148031029,1.424387207507225,-0.6131372190759029,0.9692708092764566
21,4855034,1395,Fibonacci (6.25 km),47.55046844482422,10.273088455200195,-0.15808052675726147,1.1096407996683937,0.019109627028285822,0.5395571300547605
22,4855267,1395,Fibonacci (6.25 km),47.55345153808594,10.964064598083496,0.2534937699840548,1.3147540563718263,0.2998920280213132,0.7054409322797064
23,4855644,1395,Fibonacci (6.25 km),47.55828094482422,10.537017822265623,-0.21608708244241245,1.7400682017867366,-0.046684572403952226,1.379892807585289
24,4855877,1395,Fibonacci (6.25 km),47.56126403808594,11.227993965148926,-0.033857876157974504,1.574386417499294,-0.04943384180625881,1.0650221325004086
25,4856021,1395,Fibonacci (6.25 km),47.5631103515625,10.109971046447754,-0.08161674846608798,1.0936379992878626,-0.011418895708802312,0.5403983319507125
26,4856254,1395,Fibonacci (6.25 km),47.56609725952149,10.800947189331056,0.26553897057544085,1.447535969411,0.18228809291138137,1.1686497352602438
27,4856398,1359,Fibonacci (6.25 km),47.56793975830078,9.682924270629885,-0.1922238458738557,1.9321574287203873,-0.07040983731309376,1.4289061926655091
28,4856487,1395,Fibonacci (6.25 km),47.5690803527832,11.491923332214355,-0.37041334618265787,1.46463152950482,-0.19848152551245454,1.0270096729645106
29,4856631,1395,Fibonacci (6.25 km),47.570926666259766,10.373900413513184,-0.14781009603115006,1.142373984339119,0.15616739273198532,0.5281369674672312
30,4856864,1395,Fibonacci (6.25 km),47.57390975952149,11.064876556396484,0.30155232851566854,1.5388181905149807,0.13205964457444153,1.280719232505544
31,4856953,1395,Fibonacci (6.25 km),47.57505035400391,12.873876571655272,-1.3907479894559753,0.7916826443949934,-0.9588081674371769,0.4477335733844618
32,4857008,1359,Fibonacci (6.25 km),47.57575607299805,9.946853637695312,0.43086030183148893,1.3228183029899383,0.22816925592128112,0.8919820388681909
33,4857241,1395,Fibonacci (6.25 km),47.57874298095703,10.637829780578612,-0.023239026738956798,1.7866084341675494,0.0057212484695658575,1.4680459661912462
34,4857385,1359,Fibonacci (6.25 km),47.58058547973633,9.51980686187744,-0.3762322792589027,2.149276325785021,-0.28492601753229363,1.843111760719727
35,4857474,1395,Fibonacci (6.25 km),47.58172607421875,11.328805923461914,-0.566858955884733,1.4535468898997166,-0.47171134877440296,0.9597658134603847
36,4857618,1395,Fibonacci (6.25 km),47.58357238769531,10.210783004760742,-0.05055154544438327,0.9897970631843475,0.09455882110086919,0.48536093670489666
37,4857851,1395,Fibonacci (6.25 km),47.5865592956543,10.901759147644045,0.44010905924053473,1.5623732357875162,0.38555000046075993,1.0106176937611278
