,point,cell,grid,lat,lon,zscore(2021-7),smapi-mean(2021-7),essmi(2021-7)
0,4838920,1395,Fibonacci (6.25 km),47.34447860717773,10.382990837097168,1.3521587242256894,19.158742942151243,1.045599103301896
1,4841504,1395,Fibonacci (6.25 km),47.37745666503906,10.320685386657717,1.6115151919253268,25.668260546866108,1.2574874849932405
2,4843101,1395,Fibonacci (6.25 km),47.39785003662109,10.421497344970703,1.469407771824257,20.518340051893148,1.1177620774434316
3,4844088,1395,Fibonacci (6.25 km),47.410457611083984,10.258379936218262,1.438613454834124,27.203120287298766,1.1209089105535108
4,4845685,1395,Fibonacci (6.25 km),47.43086242675781,10.35919189453125,1.3751891070822142,21.408058185518183,1.0770461809334022
5,4846672,1395,Fibonacci (6.25 km),47.44347381591797,10.196074485778809,1.4872504555949988,28.49651866847575,1.1439059348928649
6,4847282,1395,Fibonacci (6.25 km),47.45127487182617,10.460004806518556,1.16467985879122,15.14261157150664,0.9074551995513711
7,4848269,1395,Fibonacci (6.25 km),47.46389389038086,10.296887397766112,1.5053738664815584,27.066429870641556,1.1609095760128871
8,4849256,1395,Fibonacci (6.25 km),47.47651672363281,10.133769989013672,1.2188092489720872,19.293468208076792,0.953796155419911
9,4849866,1395,Fibonacci (6.25 km),47.484317779541016,10.397699356079102,1.3080575947636266,19.42714549851116,1.0183532640384862
10,4850853,1395,Fibonacci (6.25 km),47.49694442749024,10.23458194732666,1.2125651820878134,22.507038490453827,0.9430711186839227
11,4851463,1395,Fibonacci (6.25 km),47.5047492980957,10.49851131439209,1.4448908959743096,19.768891000892186,1.1942277616401304
12,4851840,1395,Fibonacci (6.25 km),47.50957489013672,10.07146453857422,1.2215600840691965,17.88485913118404,0.9651250148886203
13,4852450,1395,Fibonacci (6.25 km),47.51738357543945,10.335393905639648,1.3604808895390235,23.14102270993707,1.0821434897450717
14,4853437,1395,Fibonacci (6.25 km),47.5300178527832,10.172276496887209,0.930870569949018,16.19537791963332,0.6987937914962196
15,4854047,1395,Fibonacci (6.25 km),47.53782653808594,10.436205863952637,1.3997288698274,20.497223051680407,1.1219033254559365
16,4854280,1395,Fibonacci (6.25 km),47.540809631347656,11.127182006835938,1.2593953467335484,7.422760967161643,1.0088796058921468
17,4854369,1395,Fibonacci (6.25 km),47.54195022583008,12.936182022094728,0.756283688670385,7.078002729812925,0.5793685144276284
18,4854424,1395,Fibonacci (6.25 km),47.54265594482422,10.009159088134766,1.2664906642476235,17.658856616660923,1.028799674704513
19,4854801,1359,Fibonacci (6.25 km),47.547481536865234,9.582112312316896,2.1864333078591085,30.602576514748186,1.7759558849457968
20,4854890,1395,Fibonacci (6.25 km),47.548622131347656,11.391111373901367,1.424387207507225,11.646504054105362,1.1365442768005243
21,4855034,1395,Fibonacci (6.25 km),47.55046844482422,10.273088455200195,1.1096407996683937,20.25136613115597,0.8469414378578055
22,4855267,1395,Fibonacci (6.25 km),47.55345153808594,10.964064598083496,1.3147540563718263,12.07937258211791,1.1250029850530372
23,4855644,1395,Fibonacci (6.25 km),47.55828094482422,10.537017822265623,1.7400682017867366,24.96024503316438,1.4709356179838327
24,4855877,1395,Fibonacci (6.25 km),47.56126403808594,11.227993965148926,1.574386417499294,9.2661305096469,1.2669820387092798
25,4856021,1395,Fibonacci (6.25 km),47.5631103515625,10.109971046447754,1.0936379992878626,17.851757031236954,0.8648558901800905
26,4856254,1395,Fibonacci (6.25 km),47.56609725952149,10.800947189331056,1.447535969411,13.267017586320936,1.196345527386372
27,4856398,1359,Fibonacci (6.25 km),47.56793975830078,9.682924270629885,1.9321574287203873,22.82516733787892,1.6765535681532389
28,4856487,1395,Fibonacci (6.25 km),47.5690803527832,11.491923332214355,1.46463152950482,15.852735947927243,1.236427555613529
29,4856631,1395,Fibonacci (6.25 km),47.570926666259766,10.373900413513184,1.142373984339119,18.03463663171046,0.8886833847665319
30,4856864,1395,Fibonacci (6.25 km),47.57390975952149,11.064876556396484,1.5388181905149807,12.86215782997485,1.2598769897758726
31,4856953,1395,Fibonacci (6.25 km),47.57505035400391,12.873876571655272,0.7916826443949934,7.13856700262006,0.6146134829154011
32,4857008,1359,Fibonacci (6.25 km),47.57575607299805,9.946853637695312,1.3228183029899383,20.707036197514473,1.0635727004291864
33,4857241,1395,Fibonacci (6.25 km),47.57874298095703,10.637829780578612,1.7866084341675494,21.566217595993947,1.5510182383315434
34,4857385,1359,Fibonacci (6.25 km),47.58058547973633,9.51980686187744,2.149276325785021,28.26259873525671,1.7207382435529677
35,4857474,1395,Fibonacci (6.25 km),47.58172607421875,11.328805923461914,1.4535468898997166,11.989892688992937,1.1249440994813784
36,4857618,1395,Fibonacci (6.25 km),47.58357238769531,10.210783004760742,0.9897970631843475,18.816426636171215,0.7420728434865493
37,4857851,1395,Fibonacci (6.25 km),47.5865592956543,10.901759147644045,1.5623732357875162,16.10355947507289,1.383483831884412
38,4857995,1359,Fibonacci (6.25 km),47.58840560913086,9.783736228942873,1.758246552485355,20.39825775599602,1.4711042392533802
39,4858084,1395,Fibonacci (6.25 km),47.58954620361328,11.59273624420166,1.3460130255367486,16.129085381296527,1.1298584719419134
40,4858228,1395,Fibonacci (6.25 km),47.59139251708984,10.474712371826172,1.6240247861077508,23.184566973839214,1.3566524495115377
41,4858372,1359,Fibonacci (6.25 km),47.593238830566406,9.356689453125,1.9669928240970718,28.61394891173405,1.492232265072452
42,4858461,1395,Fibonacci (6.25 km),47.59437942504883,11.165689468383787,1.5105346413546568,10.972988066921909,1.1923114871262421
43,4858550,1395,Fibonacci (6.25 km),47.59552001953125,12.974688529968262,0.8207691059962096,7.531188478240171,0.614469080620409
44,4858605,1395,Fibonacci (6.25 km),47.59622573852539,10.0476655960083,1.3191357986316186,20.99580681201549,1.0725824716851324
45,4858838,1395,Fibonacci (6.25 km),47.599212646484375,10.738641738891602,1.5055735406510484,15.356009252548791,1.263376328580934
46,4858982,1359,Fibonacci (6.25 km),47.60105514526367,9.62061882019043,2.2487823636878748,35.043486073221985,1.758441483908328
47,4859071,1395,Fibonacci (6.25 km),47.60219955444336,11.42961883544922,1.2217944724776926,11.711945343010466,0.9434050327766101
48,4859215,1395,Fibonacci (6.25 km),47.60404586791992,10.31159496307373,1.1301536414315954,18.901776736935496,0.870978936151478
49,4859448,1395,Fibonacci (6.25 km),47.607032775878906,11.002572059631348,1.6629932431208432,17.63057168887787,1.4099366264596187
50,4859537,1395,Fibonacci (6.25 km),47.60817337036133,12.81157112121582,0.7453354300220884,6.909741496119004,0.6065607406707627
51,4859592,1359,Fibonacci (6.25 km),47.60887908935547,9.88454818725586,1.437004437438577,21.34010938339118,1.1975763856819006
52,4859681,1395,Fibonacci (6.25 km),47.61001968383789,11.693548202514648,1.3951576048780405,17.083430456896668,1.1535167591334723
53,4859825,1395,Fibonacci (6.25 km),47.61186599731445,10.57552433013916,1.8093343113312943,24.6838831807612,1.4835809720222413
54,4859969,1359,Fibonacci (6.25 km),47.613712310791016,9.457501411437988,2.3888729114231846,30.925223856666552,1.757719046513926
55,4860058,1395,Fibonacci (6.25 km),47.61485290527344,11.266501426696776,1.4791539301910672,11.64125330183783,1.154882717531572
56,4860202,1395,Fibonacci (6.25 km),47.61669921875,10.148477554321287,0.9501467350597453,17.44484001680624,0.713746966468409
57,4860435,1395,Fibonacci (6.25 km),47.61968612670898,10.839454650878906,1.6984784371880048,19.756820760052417,1.4756477352796682
58,4860490,1359,Fibonacci (6.25 km),47.620391845703125,7.912431240081787,1.3323822545224207,27.92759845397291,1.1015038596976316
59,4860579,1359,Fibonacci (6.25 km),47.62153625488281,9.721430778503418,1.9285114701616415,25.46237628455283,1.5727237289226077
60,4860668,1395,Fibonacci (6.25 km),47.622676849365234,11.530430793762209,1.5203256986981584,16.910500396284657,1.2667481794575546
61,4860812,1395,Fibonacci (6.25 km),47.6245231628418,10.41240692138672,1.4126792242796635,18.95600179142534,1.2536381066287619
62,4860867,1359,Fibonacci (6.25 km),47.62522888183594,7.485384464263916,2.419361458394399,54.80379511441923,1.74957538327086
63,4860956,1359,Fibonacci (6.25 km),47.62636947631836,9.294384002685549,1.5828675157830263,26.5814660534006,1.3009044960193004
64,4861045,1395,Fibonacci (6.25 km),47.62751007080078,11.103384017944336,1.5068101149150952,14.977012490798138,1.2169786689794726
65,4861100,1359,Fibonacci (6.25 km),47.62821578979492,8.176361083984375,1.3755024893117493,26.90714761962234,1.0569767015416445
66,4861134,1395,Fibonacci (6.25 km),47.62865447998047,12.912383079528809,1.0677854613200772,9.054168399370418,0.8603993597476101
67,4861189,1359,Fibonacci (6.25 km),47.629356384277344,9.985360145568848,1.3020033548926575,19.288081359923595,1.0300453405673773
68,4861278,1395,Fibonacci (6.25 km),47.63050079345703,11.794360160827637,1.0640937974610418,11.961153717474811,0.8363699720598701
69,4861422,1395,Fibonacci (6.25 km),47.6323471069336,10.676337242126465,1.8687763934579233,22.320601223863363,1.5420090663696282
70,4861477,1359,Fibonacci (6.25 km),47.63305282592773,7.749314308166504,1.2234427913005541,27.462731045596456,0.9976300191023851
71,4861566,1359,Fibonacci (6.25 km),47.63419342041016,9.558313369750977,1.8738331726027833,29.185411209616834,1.4990792768557761
72,4861655,1395,Fibonacci (6.25 km),47.63533401489258,11.367313385009766,1.5271517458409867,15.637366405665858,1.2273377033380968
73,4861799,1395,Fibonacci (6.25 km),47.637184143066406,10.249289512634276,1.100183014443602,18.897907533009384,0.8381062910781037
74,4862032,1395,Fibonacci (6.25 km),47.64017105102539,10.940266609191896,1.8388634641437773,21.68168547243737,1.5503100055120653
75,4862087,1359,Fibonacci (6.25 km),47.64087677001953,8.013243675231934,1.222158743817716,23.652066829227493,0.9672938531072198
76,4862121,1395,Fibonacci (6.25 km),47.64131546020508,12.749265670776367,0.5558346908181521,5.897154950709136,0.4576213641519906
77,4862176,1359,Fibonacci (6.25 km),47.64202117919922,9.822242736816406,1.437785055034887,20.974464580703557,1.1641572428694658
78,4862265,1395,Fibonacci (6.25 km),47.64316177368164,11.631242752075195,1.5900968478644273,20.364715187876726,1.346210906033728
79,4862409,1395,Fibonacci (6.25 km),47.6450080871582,10.513219833374023,1.8403991904333354,24.523233838811997,1.5012296709550395
80,4862464,1359,Fibonacci (6.25 km),47.64571380615234,7.5861968994140625,2.5323156314970623,57.65700190496725,1.8130508591732242
81,4862553,1359,Fibonacci (6.25 km),47.64685821533203,9.395195960998535,2.0020695351236744,28.1021117756658,1.5910328140032772
82,4862642,1395,Fibonacci (6.25 km),47.64799880981445,11.204195976257324,1.656223216909306,16.245143344422342,1.3702895718104326
83,4862697,1359,Fibonacci (6.25 km),47.648704528808594,8.277173042297363,1.2674713587253175,26.803597540322464,0.9898963371422347
84,4862731,1395,Fibonacci (6.25 km),47.64913940429688,13.013195037841797,0.8113745367251147,6.604128346775521,0.6167229392991437
85,4862786,1395,Fibonacci (6.25 km),47.649845123291016,10.086173057556152,1.341394901339852,21.07251020677326,1.0925015501464614
86,4862875,1395,Fibonacci (6.25 km),47.6509895324707,11.895172119140623,1.2212512278211567,14.1011052686149,1.0185410953349163
87,4863019,1395,Fibonacci (6.25 km),47.65283584594727,10.777149200439451,1.7801290177087423,20.34320193036248,1.4437550468735125
88,4863074,1359,Fibonacci (6.25 km),47.653541564941406,7.850126266479492,1.1865954580682618,25.686794848241444,0.941052810753647
89,4863163,1359,Fibonacci (6.25 km),47.65468597412109,9.659125328063965,1.8671400663820348,32.90142199371493,1.445799628696942
90,4863252,1395,Fibonacci (6.25 km),47.65582656860352,11.468125343322754,1.557760129897869,20.736964467568143,1.222404366032705
91,4863396,1395,Fibonacci (6.25 km),47.65767288208008,10.350102424621582,1.5823073427987226,21.21791107353604,1.385556314693191
92,4863540,1359,Fibonacci (6.25 km),47.65952301025391,9.232078552246094,1.6749678539561073,28.62054262428899,1.407007118670574
93,4863629,1395,Fibonacci (6.25 km),47.66066360473633,11.041078567504885,1.8807186725687872,20.913555485456087,1.4818485658102696
94,4863684,1359,Fibonacci (6.25 km),47.66136932373047,8.114055633544922,1.137445195448041,22.853384396954254,0.9192764050558521
95,4863718,1395,Fibonacci (6.25 km),47.661808013916016,12.850077629089355,0.772004057771084,6.812561848820675,0.6441598235492766
96,4863773,1359,Fibonacci (6.25 km),47.66251373291016,9.923055648803713,1.4896341123343901,23.96991054456422,1.1936950972903682
97,4863862,1395,Fibonacci (6.25 km),47.66365432739258,11.732054710388184,1.1725328974491076,14.121797180261531,0.9351575988822983
98,4864006,1395,Fibonacci (6.25 km),47.665504455566406,10.614031791687012,1.811333954098398,24.71073318895173,1.5141424184087637
99,4864061,1359,Fibonacci (6.25 km),47.66621017456055,7.687008857727051,1.4408982289939651,32.331124059778794,1.1633702015862029
100,4864150,1359,Fibonacci (6.25 km),47.66735076904297,9.496007919311523,1.712514119625593,27.591792038505602,1.3569755977841074
101,4864239,1395,Fibonacci (6.25 km),47.668495178222656,11.305007934570312,1.6183770544330724,18.176321135496064,1.3482987884341366
102,4864383,1395,Fibonacci (6.25 km),47.67034149169922,10.18698501586914,1.2686336373771243,21.108800415030995,1.020306917874631
103,4864472,1395,Fibonacci (6.25 km),47.671485900878906,11.995984077453612,1.0998590932737724,12.738627383275613,0.8830145813930801
104,4864616,1395,Fibonacci (6.25 km),47.67333221435547,10.87796115875244,1.798269734777835,21.714495276439063,1.495373578326209
105,4864671,1359,Fibonacci (6.25 km),47.67404174804688,7.95093822479248,1.1792390451765942,24.069239289709618,0.9672025026730148
106,4864705,1395,Fibonacci (6.25 km),47.67447662353516,12.686960220336914,0.5278025227001689,6.237391462323697,0.37184037910588996
107,4864760,1359,Fibonacci (6.25 km),47.6751823425293,9.75993824005127,1.686291667110291,28.041563505949263,1.3621927073360671
108,4864849,1395,Fibonacci (6.25 km),47.67632675170898,11.568937301635742,1.793806691422017,22.436909462241754,1.5108852840045077
109,4864993,1395,Fibonacci (6.25 km),47.67817306518555,10.45091438293457,1.842005247155486,22.463819298708717,1.6027820458244424
110,4865048,1359,Fibonacci (6.25 km),47.67887878417969,7.523891448974609,2.487155251249148,57.67770382470575,1.779163137684787
111,4865137,1359,Fibonacci (6.25 km),47.680023193359375,9.332890510559082,1.8797533281661756,28.43561262773787,1.5547130804498295
112,4865226,1395,Fibonacci (6.25 km),47.6811637878418,11.141890525817873,1.6533924110022828,17.432123979905214,1.3143853281485458
113,4865281,1359,Fibonacci (6.25 km),47.6818733215332,8.21486759185791,1.2390366550736363,25.04801764159283,0.9743890265737374
114,4865315,1395,Fibonacci (6.25 km),47.68230819702149,12.950889587402344,1.2147992211959298,10.4105906559297,1.0200780998288885
115,4865370,1395,Fibonacci (6.25 km),47.683013916015625,10.0238676071167,1.287600410411774,19.30158230104428,1.0302082707524094
116,4865459,1395,Fibonacci (6.25 km),47.68415832519531,11.832866668701172,1.1348421389903247,13.727498465188729,0.9303952846043531
117,4865603,1395,Fibonacci (6.25 km),47.68600463867188,10.71484375,1.877123301376944,21.963329239981395,1.6307336647436816
118,4865658,1359,Fibonacci (6.25 km),47.686710357666016,7.787820816040039,1.2665478059409756,29.394204871404572,1.017428168116615
119,4865692,1395,Fibonacci (6.25 km),47.68714904785156,12.523842811584473,0.6746239081187421,7.3662476838912205,0.47140012760454747
120,4865747,1359,Fibonacci (6.25 km),47.6878547668457,9.596820831298828,1.7553616465246809,31.03928058278979,1.3842351432774618
121,4865836,1395,Fibonacci (6.25 km),47.68899917602539,11.4058198928833,1.7080731576681358,21.818528924904175,1.363712531069555
122,4865980,1395,Fibonacci (6.25 km),47.69084548950195,10.287796974182127,1.4735464432092524,22.627123824927352,1.2472545109425193
123,4866069,1395,Fibonacci (6.25 km),47.69198989868164,12.096796035766602,0.8556404077487334,11.813640137790609,0.6297882587550117
124,4866124,1359,Fibonacci (6.25 km),47.69269561767578,9.16977310180664,1.5579867868042458,22.56181424372975,1.3342417218914386
125,4866213,1395,Fibonacci (6.25 km),47.69384002685547,10.97877311706543,1.8672689457171896,21.87953460968906,1.509135146500379
126,4866268,1359,Fibonacci (6.25 km),47.69454574584961,8.051750183105469,1.0357416724867108,21.510335686579708,0.8419284287568729
127,4866302,1395,Fibonacci (6.25 km),47.69498062133789,12.787772178649902,0.6068102246413626,6.560257292897037,0.4612608404510993
128,4866357,1359,Fibonacci (6.25 km),47.6956901550293,9.860750198364258,1.443574819838227,25.812494705991597,1.153275819761959
129,4866446,1395,Fibonacci (6.25 km),47.69683074951172,11.66974925994873,1.656334161248865,22.404429990778514,1.3570536605713712
130,4866590,1395,Fibonacci (6.25 km),47.69868087768555,10.55172634124756,2.2361279414417132,35.136286937459765,1.8061553946955538
131,4866645,1359,Fibonacci (6.25 km),47.69938659667969,7.624703407287598,2.0862725034530554,46.34385884402848,1.620746577085046
132,4866679,1395,Fibonacci (6.25 km),47.699825286865234,12.360725402832031,0.7610433970081965,9.308497793711421,0.5357930267554843
133,4866734,1359,Fibonacci (6.25 km),47.700531005859375,9.433703422546388,1.576680799911004,24.47439264755284,1.3358220113422776
134,4866823,1395,Fibonacci (6.25 km),47.70167541503906,11.24270248413086,1.748849220802641,19.01554861751224,1.4453576774773904
135,4866878,1359,Fibonacci (6.25 km),47.7023811340332,8.315679550170898,1.3614946971651587,27.91771937531943,1.0822376259362734
136,4866967,1395,Fibonacci (6.25 km),47.703521728515625,10.124679565429688,1.4120314702858603,21.82780439071094,1.1536542846878723
137,4867056,1395,Fibonacci (6.25 km),47.70466613769531,11.93367862701416,1.1026419052762695,13.448143700410412,0.882440489417441
138,4867111,1359,Fibonacci (6.25 km),47.70537185668945,9.006656646728516,1.7076593702841285,27.84545304762334,1.3818413564576344
139,4867200,1395,Fibonacci (6.25 km),47.70651626586914,10.815655708312988,1.8838793891708783,23.746284798141463,1.6343891240985593
140,4867255,1359,Fibonacci (6.25 km),47.70722198486328,7.888632774353027,1.1952300097198747,25.971759849545904,0.9780484984096434
141,4867289,1395,Fibonacci (6.25 km),47.70766067504883,12.624655723571776,0.8166807887399642,8.310033227490326,0.5859050555758686
142,4867344,1359,Fibonacci (6.25 km),47.70836639404297,9.697632789611816,1.6648993032119506,30.963820726229883,1.325979554954632
143,4867433,1395,Fibonacci (6.25 km),47.709510803222656,11.506631851196287,1.7269322628139423,20.080456048843313,1.4402509807782253
144,4867577,1395,Fibonacci (6.25 km),47.71136093139648,10.388608932495115,1.852316852783813,21.523201415331854,1.6321144469993656
145,4867666,1395,Fibonacci (6.25 km),47.712501525878906,12.19760799407959,0.7677178196189022,12.51086996322217,0.5580528822323356
146,4867721,1359,Fibonacci (6.25 km),47.71320724487305,9.270586013793944,1.93304399802909,28.428786037385528,1.6236003679096724
147,4867810,1395,Fibonacci (6.25 km),47.714351654052734,11.079585075378418,1.8622685047313483,22.093811672860372,1.4374414659136616
148,4867865,1359,Fibonacci (6.25 km),47.71505737304688,8.152562141418457,1.017176134935493,21.693738873449462,0.8045506137783838
